group_id	user_id	image_id	cluster_image_name	timestamp
116	841	52	140311755257616_2.jpe	1535657463000
13	171	52	140311755257616_2.jpe	1535659080000
15	358	117	139875185834320_8.jpe	1535660439000
176	850	52	140311755257616_2.jpe	1535660448000
43	396	124	139788466701584.jpe	1535662015000
41	404	52	140311755257616_2.jpe	1535663560000
123	19	52	140311755257616_2.jpe	1535666761000
15	174	52	140311755257616_2.jpe	1535671108000
176	918	52	140311755257616_2.jpe	1535671160000
36	315	52	140311755257616_2.jpe	1535673046000
33	65	52	140311755257616_2.jpe	1535674726000
176	839	52	140311755257616_2.jpe	1535678131000
43	582	124	139788466701584.jpe	1535678602000
1	308	128	140415832008080_7.jpe	1535688332000
78	912	128	140415832008080_7.jpe	1535722366000
13	590	52	140311755257616_2.jpe	1535743525000
176	839	128	140415832008080_7.jpe	1535748896000
50	581	52	140311755257616_2.jpe	1535755443000
121	741	12	140216935626000.jpe	1535757786000
111	33	52	140311755257616_2.jpe	1535766439000
28	564	12	140216935626000.jpe	1535800579000
28	564	22	140067876230160.jpe	1535800582000
28	564	51	139902213105424_7.jpe	1535800585000
28	564	101	139875164269392_5.jpe	1535800592000
34	759	46	140649438092752.jpe	1535804057000
34	759	46	140649438092752.jpe	1535804085000
1	570	12	140216935626000.jpe	1535831628000
1	570	22	140067876230160.jpe	1535831837000
1	570	51	139902213105424_7.jpe	1535832148000
1	570	101	139875164269392_5.jpe	1535832356000
28	570	12	140216935626000.jpe	1535832518000
28	570	22	140067876230160.jpe	1535832649000
28	570	51	139902213105424_7.jpe	1535832860000
28	570	101	139875164269392_5.jpe	1535833005000
8	351	116	139875150048400_36.jpe	1535842524000
8	490	116	139875150048400_36.jpe	1535843031000
8	351	116	139875150048400_36.jpe	1535845728000
42	572	117	139875185834320_8.jpe	1535849334000
162	240	117	139875185834320_8.jpe	1535857274000
111	196	65	139981586829968.jpe	1535914788000
111	735	65	139981586829968.jpe	1535914903000
111	196	50	139875150046224_23.jpe	1535915625000
15	196	50	139875150046224_23.jpe	1535915632000
43	330	101	139875164269392_5.jpe	1535917089000
43	330	12	140216935626000.jpe	1535917740000
176	57	103	140492857794832.jpe	1535932465000
41	793	116	139875150048400_36.jpe	1535933321000
176	57	104	140492801004624.jpe	1535933756000
176	61	103	140492857794832.jpe	1535974866000
176	61	104	140492801004624.jpe	1535974877000
163	618	103	140492857794832.jpe	1535999597000
163	618	104	140492801004624.jpe	1535999618000
177	537	65	139981586829968.jpe	1536017193000
13	610	103	140492857794832.jpe	1536020452000
13	610	104	140492801004624.jpe	1536020456000
49	508	104	140492801004624.jpe	1536031524000
36	450	55	140374427542352.jpe	1536082640000
95	450	55	140374427542352.jpe	1536082644000
176	437	79	140295945842832.jpe	1536093132000
176	437	97	140295945842960.jpe	1536093161000
176	437	97	140295945842960.jpe	1536093164000
176	437	92	140676875897488_5.jpe	1536093174000
53	443	102	140311755256784_12.jpe	1536106926000
32	535	103	140492857794832.jpe	1536107527000
32	535	104	140492801004624.jpe	1536107534000
169	411	65	139981586829968.jpe	1536109563000
76	596	22	140067876230160.jpe	1536117921000
76	596	12	140216935626000.jpe	1536118127000
76	596	101	139875164269392_5.jpe	1536118290000
76	596	51	139902213105424_7.jpe	1536118342000
120	539	85	139820729803728_2.jpe	1536142977000
38	189	121	140667704371216_8.jpe	1536146169000
111	103	22	140067876230160.jpe	1536167558000
123	313	59	140667701666832_31.jpe	1536172616000
161	325	85	139820729803728_2.jpe	1536175358000
23	557	59	140667701666832_31.jpe	1536177314000
182	524	103	140492857794832.jpe	1536192105000
182	524	104	140492801004624.jpe	1536192111000
50	653	52	140311755257616_2.jpe	1536199752000
50	653	95	140311744419280_13.jpe	1536199836000
15	196	22	140067876230160.jpe	1536218500000
15	196	12	140216935626000.jpe	1536218517000
15	196	104	140492801004624.jpe	1536218523000
15	196	101	139875164269392_5.jpe	1536218576000
15	196	51	139902213105424_7.jpe	1536218593000
111	196	12	140216935626000.jpe	1536219587000
111	196	101	139875164269392_5.jpe	1536219641000
111	196	51	139902213105424_7.jpe	1536219652000
111	280	95	140311744419280_13.jpe	1536234312000
76	699	85	139820729803728_2.jpe	1536237322000
100	192	113	139895596481424_3.jpe	1536265341000
103	92	57	139895596481424_5.jpe	1536266965000
64	84	121	140667704371216_8.jpe	1536268450000
148	318	44	140406699627024_3.jpe	1536269110000
8	258	121	140667704371216_8.jpe	1536269206000
103	451	104	140492801004624.jpe	1536269498000
88	56	95	140311744419280_13.jpe	1536269526000
13	250	121	140667704371216_8.jpe	1536271768000
35	622	95	140311744419280_13.jpe	1536272415000
148	213	35	140311755258128_4.jpe	1536272567000
148	29	35	140311755258128_4.jpe	1536272596000
167	655	121	140667704371216_8.jpe	1536273228000
135	209	113	139895596481424_3.jpe	1536274371000
106	488	95	140311744419280_13.jpe	1536274609000
111	33	121	140667704371216_8.jpe	1536274661000
111	33	95	140311744419280_13.jpe	1536274710000
120	275	84	140667597218640.jpe	1536274715000
176	130	82	140667659102736.jpe	1536274723000
135	612	35	140311755258128_4.jpe	1536274789000
176	897	82	140667659102736.jpe	1536274856000
32	698	95	140311744419280_13.jpe	1536274974000
61	481	95	140311744419280_13.jpe	1536275172000
76	605	95	140311744419280_13.jpe	1536275228000
176	820	95	140311744419280_13.jpe	1536275307000
64	307	95	140311744419280_13.jpe	1536275836000
13	250	95	140311744419280_13.jpe	1536275985000
23	173	95	140311744419280_13.jpe	1536275999000
111	498	84	140667597218640.jpe	1536276970000
69	781	95	140311744419280_13.jpe	1536277265000
41	404	95	140311744419280_13.jpe	1536277335000
95	296	95	140311744419280_13.jpe	1536277486000
1	401	95	140311744419280_13.jpe	1536277607000
76	292	95	140311744419280_13.jpe	1536277626000
19	907	95	140311744419280_13.jpe	1536278051000
176	771	95	140311744419280_13.jpe	1536278539000
76	63	121	140667704371216_8.jpe	1536278600000
126	299	121	140667704371216_8.jpe	1536278721000
132	447	95	140311744419280_13.jpe	1536278722000
28	891	95	140311744419280_13.jpe	1536279267000
120	382	95	140311744419280_13.jpe	1536279582000
15	532	95	140311744419280_13.jpe	1536279744000
76	699	95	140311744419280_13.jpe	1536280145000
156	190	95	140311744419280_13.jpe	1536280686000
88	10	113	139895596481424_3.jpe	1536280812000
176	607	84	140667597218640.jpe	1536280820000
95	680	121	140667704371216_8.jpe	1536281118000
49	508	95	140311744419280_13.jpe	1536281832000
8	816	95	140311744419280_13.jpe	1536282830000
167	853	95	140311744419280_13.jpe	1536282959000
38	268	95	140311744419280_13.jpe	1536282979000
37	648	121	140667704371216_8.jpe	1536283444000
60	628	84	140667597218640.jpe	1536283554000
59	379	57	139895596481424_5.jpe	1536283557000
60	628	121	140667704371216_8.jpe	1536284072000
26	120	95	140311744419280_13.jpe	1536284358000
99	298	95	140311744419280_13.jpe	1536284381000
1	696	121	140667704371216_8.jpe	1536286243000
50	234	95	140311744419280_13.jpe	1536286552000
176	512	95	140311744419280_13.jpe	1536289660000
76	317	95	140311744419280_13.jpe	1536290181000
